"F","P","S","replicate_no","space_replicate","t","tc","dyad_mean_leave_size","dyad_sd_ls","dyad_cv_ls","dyad_mean_leave_times","hyp_mean_leave_size","hyp_sd_ls","hyp_cv_ls","hyp_mean_leave_times","comb_leave_size","fam_combo","replicate_unique"
2,21,2,3,3,0.05,0.25,5.02941176470588,5.14919996208677,1.02381753632135,291.470588235294,11,5.19615242270663,0.47237749297333,13,5.97058823529412,"2_21_2","2_21_2_0.05_0.25_3"
2,21,2,3,3,0.1,0.1,3.44444444444444,3.50396600693811,1.01728045362719,114.888888888889,6.2,5.80517010948,0.936317759593548,17,2.75555555555556,"2_21_2","2_21_2_0.1_0.1_3"
2,21,2,3,3,0.1,0.2,7.1875,11.4438848298993,1.59219267198599,168.125,11,9.53939201416946,0.867217455833587,14,3.8125,"2_21_2","2_21_2_0.1_0.2_3"
2,21,2,3,3,0.1,0.25,9.18181818181818,14.183216714259,1.54470677085989,151.181818181818,16.5,20.5060966544099,1.2427937366309,10.5,7.31818181818182,"2_21_2","2_21_2_0.1_0.25_3"
2,21,2,3,3,0.15,0.1,2.28571428571429,1.58980266935004,0.695538667840645,369.714285714286,6.4,6.50384501660364,1.01622578384432,24,4.11428571428571,"2_21_2","2_21_2_0.15_0.1_3"
2,21,2,3,3,0.15,0.2,4.23076923076923,5.06875800293402,1.19807007342077,93,13.5,10.3762549441823,0.768611477346834,77.5,9.26923076923077,"2_21_2","2_21_2_0.15_0.2_3"
2,21,2,3,3,0.15,0.25,11.3636363636364,14.1228377266945,1.24280971994912,186.818181818182,8.5,7.32575365861197,0.861853371601408,18.5,-2.86363636363636,"2_21_2","2_21_2_0.15_0.25_3"
2,21,2,3,4,0.05,0.1,2.07142857142857,1.32805732697661,0.64113112336802,160.428571428571,2.38461538461538,1.85015591858549,0.775871836826174,206.615384615385,0.313186813186813,"2_21_2","2_21_2_0.05_0.1_3"
2,21,2,3,4,0.05,0.2,4.76923076923077,2.97640292282049,0.6240844838172,233.692307692308,3.77777777777778,2.48886408717801,0.658816964253004,22,-0.991452991452991,"2_21_2","2_21_2_0.05_0.2_3"
2,21,2,3,4,0.05,0.25,4.82352941176471,4.78299125522863,0.991595748035205,289.882352941176,7.5,4.12310562561766,0.549747416749021,23,2.67647058823529,"2_21_2","2_21_2_0.05_0.25_3"
2,21,2,3,4,0.1,0.1,2.21428571428571,1.1217137594956,0.506580407514143,206.428571428571,3.1,2.60128173535022,0.839123140435556,28.4,0.885714285714286,"2_21_2","2_21_2_0.1_0.1_3"
2,21,2,3,4,0.1,0.2,6.23529411764706,10.7327152422203,1.72128451997873,165.411764705882,4.71428571428571,5.96417878432803,1.26512883303928,29.2857142857143,-1.52100840336134,"2_21_2","2_21_2_0.1_0.2_3"
2,21,2,3,4,0.1,0.25,10.1,13.5026746321691,1.33689847843258,164.9,11.6666666666667,8.7368949480541,0.748876709833209,9.33333333333333,1.56666666666667,"2_21_2","2_21_2_0.1_0.25_3"
2,21,2,3,4,0.15,0.1,2.40909090909091,1.81682850067523,0.754155226695378,290.045454545455,6.6,6.58027355054484,0.997011144021945,10,4.19090909090909,"2_21_2","2_21_2_0.15_0.1_3"
2,21,2,3,4,0.15,0.2,5.09090909090909,5.35638955742663,1.05214794878023,103.909090909091,14.6666666666667,9.3523615556001,0.637661015154552,54.8333333333333,9.57575757575757,"2_21_2","2_21_2_0.15_0.2_3"
2,21,2,3,4,0.15,0.25,10.8333333333333,13.7367015581241,1.26800322074992,176.666666666667,11,3.46410161513775,0.314918328648887,13,0.166666666666666,"2_21_2","2_21_2_0.15_0.25_3"
2,21,2,3,5,0.05,0.1,2.4,1.26491106406735,0.52704627669473,302.5,2.38461538461538,2.14236868669788,0.898412675066852,263.384615384615,-0.0153846153846153,"2_21_2","2_21_2_0.05_0.1_3"
2,21,2,3,5,0.05,0.2,4.53846153846154,3.64269553616972,0.802627830003497,251.076923076923,5.5,4.50555213042752,0.819191296441368,45.6666666666667,0.961538461538462,"2_21_2","2_21_2_0.05_0.2_3"
2,21,2,3,5,0.05,0.25,5.35135135135135,6.22814497180258,1.16384527250856,270.513513513513,17.5,19.0918830920368,1.09096474811639,14.5,12.1486486486486,"2_21_2","2_21_2_0.05_0.25_3"
2,21,2,3,5,0.1,0.1,2.81818181818182,1.88775961489708,0.669850185931221,76.1818181818182,6.2,4.96990945591567,0.801598299341237,11.8,3.38181818181818,"2_21_2","2_21_2_0.1_0.1_3"
2,21,2,3,5,0.1,0.2,8.66666666666667,13.2961603024286,1.53417234258792,181.666666666667,16.5,14.8492424049175,0.899954085146515,8.5,7.83333333333333,"2_21_2","2_21_2_0.1_0.2_3"
2,21,2,3,5,0.1,0.25,9.18181818181818,13.8406515873942,1.50739769763699,174.181818181818,8,10.1324561023804,1.26655701279756,6.5,-1.18181818181818,"2_21_2","2_21_2_0.1_0.25_3"
2,21,2,3,5,0.15,0.1,2.73684210526316,2.05053123911173,0.749232568136979,307.736842105263,4.57142857142857,5.31843156256751,1.16340690431164,15.1428571428571,1.83458646616541,"2_21_2","2_21_2_0.15_0.1_3"
