"F","P","S","t","tc","replicate_no","space_replicate","dyad_mean_leave_size","dyad_sd_ls","dyad_cv_ls","dyad_mean_leave_times","hyp_mean_leave_size","hyp_sd_ls","hyp_cv_ls","hyp_mean_leave_times","comb_leave_size","fam_combo","replicate_unique"
10,10,2,0.1,0.1,3,5,2.17647058823529,1.74052054417806,0.799698628406135,321.352941176471,2.64285714285714,2.40535117721182,0.910132877863932,71.8571428571429,0.466386554621849,"10_10_2","10_10_2_0.1_0.1_3"
10,10,2,0.1,0.1,4,1,2.4,1.50087693664316,0.625365390267985,161.3,9.6,15.9624559513879,1.66275582826958,7.2,7.2,"10_10_2","10_10_2_0.1_0.1_4"
10,10,2,0.1,0.1,4,2,1.88235294117647,1.61564046670262,0.858308997935767,269.411764705882,11.25,15.2616076042685,1.35658734260165,6.5,9.36764705882353,"10_10_2","10_10_2_0.1_0.1_4"
10,10,2,0.1,0.1,4,3,2.13636363636364,1.2457720706245,0.583127352207212,269.454545454545,9.8,8.19756061276768,0.836485776813028,16,7.66363636363636,"10_10_2","10_10_2_0.1_0.1_4"
10,10,2,0.1,0.1,4,4,3.28571428571429,2.23360940833687,0.6797941677547,71.2857142857143,16.3333333333333,16.6533279957291,1.0195915099426,8,13.047619047619,"10_10_2","10_10_2_0.1_0.1_4"
10,10,2,0.1,0.1,4,5,2.25,1.28173988892331,0.569662172854805,239.875,3.8,1.78885438199983,0.47075115315785,50.6,1.55,"10_10_2","10_10_2_0.1_0.1_4"
10,10,2,0.1,0.1,5,1,2.82352941176471,2.40404071610817,0.851431086954977,125.294117647059,4.36363636363636,5.00545157348919,1.14708265225794,26.2727272727273,1.54010695187166,"10_10_2","10_10_2_0.1_0.1_5"
10,10,2,0.1,0.1,5,2,1.72727272727273,1.55505042303516,0.900292350178248,625.909090909091,7.16666666666667,9.51665207237643,1.3279049403316,10.1666666666667,5.43939393939394,"10_10_2","10_10_2_0.1_0.1_5"
10,10,2,0.1,0.1,5,3,1.85294117647059,1.41704671425269,0.764755369596687,377.794117647059,19,23.5159520326097,1.23768168592683,14,17.1470588235294,"10_10_2","10_10_2_0.1_0.1_5"
10,10,2,0.1,0.1,5,4,2.61538461538462,1.98067587532057,0.757317246446102,93.8461538461538,4.25,3.77018377725619,0.887102065236749,39.125,1.63461538461538,"10_10_2","10_10_2_0.1_0.1_5"
10,10,2,0.1,0.1,5,5,2.16666666666667,2.01444062074134,0.929741824957541,295.791666666667,6.5,11.1994897842969,1.72299842835337,50.125,4.33333333333333,"10_10_2","10_10_2_0.1_0.1_5"
10,10,2,0.1,0.2,1,1,5.33333333333333,8.568066567545,1.60651248141469,131.888888888889,5.55555555555556,8.36826014042213,1.50628682527598,47.3333333333333,0.222222222222222,"10_10_2","10_10_2_0.1_0.2_1"
10,10,2,0.1,0.2,1,2,6,8.13051432308527,1.35508572051421,127.6,4.46153846153846,4.21535654117546,0.944821293711742,14.6153846153846,-1.53846153846154,"10_10_2","10_10_2_0.1_0.2_1"
10,10,2,0.1,0.2,1,3,5.61111111111111,8.67815980011545,1.54660273665424,120.388888888889,9.6,14.9432258900145,1.55658603020985,10.6,3.98888888888889,"10_10_2","10_10_2_0.1_0.2_1"
10,10,2,0.1,0.2,1,4,6.4375,9.34500757980788,1.45165166288278,121.6875,6.375,2.7222627143085,0.427021602244471,52.25,-0.0625,"10_10_2","10_10_2_0.1_0.2_1"
