"F","P","S","t","tc","replicate_no","space_replicate","dyad_mean_leave_size","dyad_sd_ls","dyad_cv_ls","dyad_mean_leave_times","hyp_mean_leave_size","hyp_sd_ls","hyp_cv_ls","hyp_mean_leave_times","comb_leave_size","fam_combo","replicate_unique"
20,10,2,0.05,0.2,22,1,2.83870967741935,2.87630288383715,1.01324306135172,185.774193548387,9.77777777777778,17.2900099607966,1.76829647326329,291.555555555556,6.93906810035842,"20_10_2","20_10_2_0.05_0.2_22"
20,10,2,0.05,0.2,22,2,3.68,3.02379452564709,0.821683295012797,213.36,13.1428571428571,18.2978010648691,1.39222399406613,54.5714285714286,9.46285714285714,"20_10_2","20_10_2_0.05_0.2_22"
20,10,2,0.05,0.2,22,3,3.39473684210526,2.93662311750787,0.86505177104883,183.578947368421,7.15384615384615,8.29504022339207,1.15952175165696,94.4615384615385,3.75910931174089,"20_10_2","20_10_2_0.05_0.2_22"
20,10,2,0.05,0.2,22,4,3.26923076923077,2.96050931169206,0.90556755416463,153.653846153846,6.07142857142857,6.62703420977909,1.09151151690479,46.3571428571429,2.8021978021978,"20_10_2","20_10_2_0.05_0.2_22"
20,10,2,0.05,0.2,22,5,2.8,2.36145518446472,0.843376851594542,188.457142857143,11.875,22.0482425603493,1.85669411034521,40.5,9.075,"20_10_2","20_10_2_0.05_0.2_22"
20,10,2,0.05,0.2,23,1,3.07692307692308,2.01813639130935,0.655894327175539,180.974358974359,13.7142857142857,19.2675399373686,1.4049247870998,44.7142857142857,10.6373626373626,"20_10_2","20_10_2_0.05_0.2_23"
20,10,2,0.05,0.2,23,2,3.39130434782609,2.6412657164663,0.778834762547755,88.3913043478261,25.3333333333333,28.3078316607495,1.11741440766117,5,21.9420289855072,"20_10_2","20_10_2_0.05_0.2_23"
20,10,2,0.05,0.2,23,3,4.09523809523809,3.7802746183943,0.923090313793958,152.52380952381,12.4285714285714,20.2225710767049,1.62710341996476,61,8.33333333333333,"20_10_2","20_10_2_0.05_0.2_23"
20,10,2,0.05,0.2,23,4,2.71428571428571,1.6965573607476,0.625047448696486,224.714285714286,7.7,7.21187292671683,0.936606873599588,114.7,4.98571428571429,"20_10_2","20_10_2_0.05_0.2_23"
20,10,2,0.05,0.2,23,5,3.03225806451613,2.65184050510511,0.874543145300622,289.774193548387,3.82608695652174,2.99472527064509,0.782712286645876,80.3478260869565,0.79382889200561,"20_10_2","20_10_2_0.05_0.2_23"
20,10,2,0.05,0.2,24,1,4.22727272727273,3.81640342009792,0.90280511013069,125.727272727273,13.2857142857143,10.7349008024339,0.808003286204699,142,9.05844155844156,"20_10_2","20_10_2_0.05_0.2_24"
20,10,2,0.05,0.2,24,2,3.84,2.92517805725851,0.761765119077737,80.28,32.3333333333333,41.5250928154692,1.28428122109699,5,28.4933333333333,"20_10_2","20_10_2_0.05_0.2_24"
20,10,2,0.05,0.2,24,3,3.31034482758621,3.14078525526729,0.948778879195328,195.827586206897,5.29411764705882,7.8641966045677,1.48545935864057,116.882352941176,1.98377281947262,"20_10_2","20_10_2_0.05_0.2_24"
20,10,2,0.05,0.2,24,4,3.20689655172414,2.35097715770679,0.733100404016097,134.48275862069,7.75,10.8972473588517,1.40609643340022,49.5,4.54310344827586,"20_10_2","20_10_2_0.05_0.2_24"
20,10,2,0.05,0.2,24,5,3.51851851851852,3.29767249353902,0.937233235005827,113.407407407407,29.6666666666667,45.3247540901584,1.52780069966826,15,26.1481481481481,"20_10_2","20_10_2_0.05_0.2_24"
20,10,2,0.05,0.2,25,1,2.90625,2.49333789747153,0.857922717409558,247.4375,10.375,19.0032891889799,1.83164233146794,53.625,7.46875,"20_10_2","20_10_2_0.05_0.2_25"
20,10,2,0.05,0.2,25,2,3.1,2.45441193181472,0.791745784456362,153.166666666667,9.3,13.6630076402591,1.46914060647947,305.7,6.2,"20_10_2","20_10_2_0.05_0.2_25"
20,10,2,0.05,0.2,25,3,3.56666666666667,3.2021903423291,0.897810376353953,122.433333333333,14.2857142857143,25.2105420126468,1.76473794088527,17.2857142857143,10.7190476190476,"20_10_2","20_10_2_0.05_0.2_25"
20,10,2,0.05,0.2,25,4,2.90625,2.10006720322577,0.722603768851878,299.9375,6.64285714285714,8.21450071386094,1.2365915053124,298.142857142857,3.73660714285714,"20_10_2","20_10_2_0.05_0.2_25"
20,10,2,0.05,0.2,25,5,4.47619047619048,4.6326995112898,1.03496478443708,192.571428571429,11.75,14.3003496460751,1.21705103370852,379.75,7.27380952380952,"20_10_2","20_10_2_0.05_0.2_25"
20,10,2,0.05,0.2,26,1,3.375,2.91640785601203,0.864120846225787,667.75,6.5,4.50924975282289,0.693730731203522,15,3.125,"20_10_2","20_10_2_0.05_0.2_26"
20,10,2,0.05,0.2,26,2,3.76,2.84722086720835,0.757239592342646,141.4,5.76470588235294,9.0797123561591,1.57505214341535,88.5882352941177,2.00470588235294,"20_10_2","20_10_2_0.05_0.2_26"
20,10,2,0.05,0.2,26,3,3.03571428571429,2.25227691964184,0.741926514705546,124.892857142857,5.3125,9.49890344548605,1.7880288838562,137.8125,2.27678571428571,"20_10_2","20_10_2_0.05_0.2_26"
20,10,2,0.05,0.2,26,4,3.25,3.38433209122623,1.04133295114653,156.071428571429,4.55,6.30350779537202,1.38538632865319,384.95,1.3,"20_10_2","20_10_2_0.05_0.2_26"
20,10,2,0.05,0.2,26,5,2.92857142857143,2.65174396044302,0.905473547468348,181.535714285714,3.95238095238095,4.26000223563545,1.07783189094391,116,1.02380952380952,"20_10_2","20_10_2_0.05_0.2_26"
20,10,2,0.05,0.2,27,1,3.23333333333333,3.0814610656068,0.953029195548494,147.333333333333,9.7,16.0072900059108,1.65023608308359,34,6.46666666666667,"20_10_2","20_10_2_0.05_0.2_27"
20,10,2,0.05,0.2,27,2,3.23076923076923,2.08781569085357,0.64622866621658,132.923076923077,5,6.16441400296898,1.2328828005938,494.352941176471,1.76923076923077,"20_10_2","20_10_2_0.05_0.2_27"
20,10,2,0.05,0.2,27,3,4.54545454545455,3.75090176747726,0.825198388844998,84.8636363636364,19.8,37.6390754402921,1.90096340607536,238.4,15.2545454545455,"20_10_2","20_10_2_0.05_0.2_27"
20,10,2,0.05,0.2,27,4,3.18518518518519,3.27034504221752,1.02673623418457,171.407407407407,9.55555555555556,15.6613466144447,1.63897813406979,140.555555555556,6.37037037037037,"20_10_2","20_10_2_0.05_0.2_27"
20,10,2,0.05,0.2,27,5,3.57692307692308,3.30058269913756,0.922743550296521,65.6538461538462,23,20.6397674405503,0.897381193067404,168.25,19.4230769230769,"20_10_2","20_10_2_0.05_0.2_27"
20,10,2,0.05,0.2,28,1,4,3.29140294302192,0.822850735755479,113.64,7.14285714285714,11.0513287948494,1.54718603127892,364.642857142857,3.14285714285714,"20_10_2","20_10_2_0.05_0.2_28"
20,10,2,0.05,0.2,28,2,2.75675675675676,2.72239075288824,0.9875339005575,255.324324324324,11.3333333333333,20.340845606808,1.79478049471835,118.222222222222,8.57657657657658,"20_10_2","20_10_2_0.05_0.2_28"
20,10,2,0.05,0.2,28,3,3.56666666666667,3.80275157487705,1.06619203033936,269.666666666667,19,21.4825510589408,1.13066058204952,64.8,15.4333333333333,"20_10_2","20_10_2_0.05_0.2_28"
20,10,2,0.05,0.2,28,4,3.45454545454545,2.95900013825309,0.856552671599579,260.878787878788,25.5,45.6982858905379,1.79208964276619,81.25,22.0454545454545,"20_10_2","20_10_2_0.05_0.2_28"
20,10,2,0.05,0.2,28,5,3.41666666666667,3.97729060790259,1.16408505597149,116.541666666667,16.6,27.2635287517959,1.64238125010818,338.4,13.1833333333333,"20_10_2","20_10_2_0.05_0.2_28"
20,10,2,0.05,0.2,29,1,3,2.38824280668941,0.796080935563136,159.714285714286,16.8,25.7138095194003,1.5305838999643,362,13.8,"20_10_2","20_10_2_0.05_0.2_29"
